,id_kindergarten,amenity,name,geometry,buffer
272,node/475540582,kindergarten,Kath. Kindergarten Bruder Klaus,POINT (9.1740963 47.6725418),"POLYGON ((9.240632679255889 47.67302383254865, 9.240377332310471 47.66861120685302, 9.239483806789734 47.66423661511752, 9.237960865780146 47.65994217213743, 9.235823322277597 47.655769210653666, 9.23309189092407 47.651757884264455, 9.229792983577902 47.6479467820456, 9.225958450874082 47.644372558539544, 9.221625272418924 47.641069582614044, 9.216835198718336 47.63806960850079, 9.211634348361027 47.635401472104085, 9.206072764362727 47.63309081542307, 9.200203933924017 47.6311598416602, 9.194084276160831 47.62962710329596, 9.18777260263163 47.62850732509788, 9.181329555708277 47.62781126370446, 9.174817030017403 47.62754560508338, 9.168297582315569 47.627712900811076, 9.161833835254283 47.62831154376248, 9.155487880539685 47.629335783434314, 9.149320686996461 47.63077578076093, 9.143391519006235 47.63261770191579, 9.137757370707261 47.634843850231825, 9.132472421215303 47.63743283501994, 9.127587515954922 47.640359775721286, 9.123149678976954 47.64359653949781, 9.119201660881798 47.64711201005028, 9.11578152667094 47.65087238515583, 9.112922287511182 47.654841500141096, 9.110651580019704 47.65898117425474, 9.108991396264082 47.66325157667699, 9.107957867223792 47.66761160870663, 9.107561101978785 47.67201929849883, 9.107805084382804 47.67643220459373, 9.108687628444878 47.68080782437605, 9.110200393088677 47.685104003543366, 9.112328956389524 47.689279342634336, 9.11505294880922 47.69329359668091, 9.118346244363694 47.69710806409936, 9.122177208076659 47.70068596102479, 9.12650899749722 47.703992777422144, 9.131299915500614 47.70699661147263, 9.136503811053391 47.70966847893669, 9.142070524115846 47.711982594432214, 9.147946370381142 47.71391662183618, 9.154074661119395 47.71545189131807, 9.160396253011552 47.716573580840674, 9.16685012252792 47.71727086031405, 9.173373959134592 47.717536996960256, 9.179904771401533 47.71736942083248, 9.186379499942019 47.716769749831535, 9.192735631036658 47.71574377396818, 9.19891180478737 47.71430139902914, 9.204848411707871 47.71245655021163, 9.210488171786183 47.710227036691414, 9.215776690249719 47.707634378480755, 9.220662984521434 47.70470359730626, 9.225099977172894 47.701462973593294, 9.229044950052037 47.69794377197623, 9.232459955184495 47.69417993806047, 9.235312178511878 47.690207769439304, 9.237574253031843 47.6860655642133, 9.239224518436865 47.68179325047112, 9.240247224903417 47.677432000364696, 9.240632679255889 47.67302383254865))"
569,node/1319492338,kindergarten,Kinderhaus Edith Stein,POINT (9.1781655 47.6732327),"POLYGON ((9.244702801305735 47.673712258660366, 9.244447102791963 47.66929964350958, 9.243553220316334 47.66492508604001, 9.242029920403125 47.660630700709845, 9.239892019500855 47.65645781969811, 9.237160235685872 47.65244659582183, 9.233860984199813 47.648635617164246, 9.23002611897778 47.64506153707346, 9.225692622811737 47.64175872303294, 9.220902249248772 47.63875892771349, 9.215701119745713 47.63609098529703, 9.210139279986473 47.63378053591546, 9.204270219614983 47.63184978077713, 9.19815035994289 47.63031727026054, 9.191838514456315 47.629197726943616, 9.185395327168793 47.6285019052084, 9.178882694047399 47.62823648872089, 9.17236317287542 47.62840402673252, 9.16589938700778 47.62900290979189, 9.159553428524118 47.63002738509045, 9.153386266289122 47.63146761130007, 9.147457164390369 47.633309752396045, 9.1418231163406 47.63553610959857, 9.13653830030417 47.63812529021117, 9.131653560436988 47.64105241179231, 9.127215919215566 47.644289339763816, 9.123268125374759 47.64780495624571, 9.119848241776513 47.65156545760884, 9.116989277193923 47.655534677961704, 9.114718865618574 47.659674435534704, 9.113058996285146 47.66394489869967, 9.112025797159525 47.66830496816474, 9.111629374155875 47.672712671718294, 9.111873707839962 47.67712556776104, 9.112756608842036 47.68150115376743, 9.114269732648525 47.685797275753224, 9.116398653872173 47.689972534801065, 9.119122999520314 47.69398668670757, 9.122416640196095 47.69780103086724, 9.126247937585415 47.70137878459788, 9.130580046007209 47.70468543924028, 9.135371265245952 47.70768909453154, 9.140575441347316 47.71036076795314, 9.146142411549492 47.712674675992595, 9.152018489049322 47.714608484527005, 9.158146982871175 47.7161435258373, 9.164468747723193 47.717264980088295, 9.170922758395488 47.71796201946149, 9.17744670298328 47.71822791349762, 9.183977589008652 47.71806009459323, 9.190452356370384 47.71746018299429, 9.19680849097501 47.71643397103576, 9.202984632894413 47.71499136678488, 9.208921172956446 47.713146297653374, 9.214560831804128 47.71091657494419, 9.219849215653994 47.708323720688554, 9.224735343242159 47.70539275850424, 9.229172138764099 47.702151970561715, 9.23311688598606 47.69863262307746, 9.23653163912712 47.694868663060724, 9.239383586575592 47.69089638931695, 9.241645364004745 47.68675410095555, 9.243295313985092 47.68248172686114, 9.244317689745218 47.67812043976124, 9.244702801305735 47.673712258660366))"
588,node/1362004368,kindergarten,Kindergarten Maria-Hilf,POINT (9.1986694 47.6741558),"POLYGON ((9.26520804036258 47.674622890477956, 9.2649505814861 47.67021032321452, 9.26405494322871 47.66583593322024, 9.262529909004398 47.66154183330598, 9.260390311926287 47.65736935286978, 9.25765688635116 47.653358640842285, 9.254356063262268 47.64954828035324, 9.250519711648558 47.64597491877901, 9.246184828526252 47.64267291667106, 9.241393180703573 47.63967401887535, 9.236190901811353 47.63700705093155, 9.230628048506855 47.634697643595125, 9.224758120104712 47.63276798805379, 9.218637546194932 47.63123662411716, 9.212325147073049 47.630118263346894, 9.205881572030107 47.629423648766725, 9.199368720730039 47.62915945245023, 9.192849153038159 47.6293282119329, 9.186385492757282 47.629928306035325, 9.180039830776485 47.630953970320355, 9.173873133142177 47.63239535204143, 9.167944659521684 47.634238604074426, 9.162311397446004 47.63646601696466, 9.157027517591253 47.639056187867446, 9.152143855187619 47.64198422481656, 9.147707422430909 47.64522198442403, 9.143760956515647 47.64873834079951, 9.14034250761121 47.65249948318014, 9.137485070764427 47.65646923948636, 9.135216265335648 47.6606094227663, 9.133558065161102 47.66488019726608, 9.132526582186635 47.669240460665385, 9.132131905836923 47.673648238851605, 9.132377999876134 47.67806108947167, 9.133262657981849 47.682436510401956, 9.134777518699972 47.68673234921348, 9.136908139878717 47.690907209683594, 9.139634132099742 47.694920851418566, 9.14292935003964 47.69873457870195, 9.146762140112898 47.70231161477365, 9.151095642172393 47.70561745787347, 9.155888142484692 47.70862021554837, 9.161093474659625 47.71129091392564, 9.166661464705143 47.71360377889119, 9.172538415905356 47.71553648638231, 9.17866762878838 47.71707037930439, 9.184989951067593 47.71819064890796, 9.191444352109864 47.71888647881363, 9.197968516213086 47.71915115024338, 9.204499448765935 47.718982107403285, 9.210974089219016 47.718380982362085, 9.217329924720225 47.717353579175494, 9.223505598259656 47.7159098174153, 9.22944150523066 47.71406363566953, 9.235080372442946 47.71183285598037, 9.240367813818851 47.70923901057694, 9.245252857262022 47.70630713263466, 9.249688437505407 47.7030655131488, 9.25363185011743 47.69954542634262, 9.257045162266621 47.69578082633716, 9.259895576309583 47.69180801808635, 9.262155742768705 47.68766530582626, 9.263804019798311 47.68339262249776, 9.264824676792745 47.67903114377613, 9.26520804036258 47.674622890477956))"
608,node/1430844062,kindergarten,Kindergarten Villa Kunterbunt,POINT (9.1659201 47.6671093),"POLYGON ((9.232449402967475 47.66759629895864, 9.232194779950694 47.663183643454964, 9.231302039290556 47.65880897435058, 9.229779936482926 47.654514407201674, 9.227643276429648 47.65034127596124, 9.224912765253986 47.64632973587838, 9.221614805953312 47.64251837810229, 9.217781240044712 47.63894385965046, 9.213449037846981 47.63564055224328, 9.208659940497434 47.6326402133145, 9.203460057224063 47.62997168228879, 9.197899421778281 47.62766060496979, 9.192031512280096 47.62572918861184, 9.185912739033963 47.624195989955545, 9.179601905138618 47.62307573819588, 9.17315964493718 47.62237919452379, 9.166647845533637 47.62211304954068, 9.160129056738414 47.62227985949403, 9.15366589489841 47.622878021922354, 9.14732044611584 47.623901790934376, 9.141153674364901 47.625341331981, 9.135224839976013 47.62718281561382, 9.129590933874134 47.629408549364044, 9.124306132830576 47.63199714652107, 9.119421280817342 47.63492373024705, 9.114983401339451 47.638160171132014, 9.111035245364741 47.64167535597929, 9.107614879173466 47.6454354853134, 9.104755316112069 47.64940439682697, 9.102484195859343 47.653543911730395, 9.100823514399176 47.65781420074256, 9.09978940744659 47.66217416626263, 9.099391989592943 47.666581837097134, 9.099635250928225 47.67099477198172, 9.100517012364401 47.67537046803849, 9.10202894032985 47.67966677024619, 9.104156620935399 47.68384227797482, 9.106879693132594 47.687856744648364, 9.11017203980004 47.69167146665078, 9.114002035111692 47.69524965767944, 9.118332845965897 47.698556804879104, 9.12312278469521 47.701561003255, 9.128325709739237 47.704233265066044, 9.133891470454191 47.70654780113644, 9.13976639175966 47.70848227129373, 9.145893793891691 47.71001800144122, 9.1522145421481 47.71114016509985, 9.158667621181738 47.7118379276052, 9.165190728125856 47.71210455151659, 9.171720878626271 47.711937462181574, 9.178195019710778 47.711338272798116, 9.184550643349777 47.710312768722964, 9.190726394554241 47.708870851182986, 9.196662667918051 47.70702644095415, 9.202302186640821 47.70479734297305, 9.207590558262066 47.702205073235994, 9.212476801595578 47.69927464971623, 9.21691383967001 47.696034349384945, 9.220858953853524 47.69251543375509, 9.224274194761378 47.68875184567388, 9.2271267460097 47.684779880366165, 9.229389237380072 47.68063783397683, 9.231040004491513 47.676365633070304, 9.23206329263116 47.672004448720145, 9.232449402967475 47.66759629895864))"
1319,node/4151036229,kindergarten,Cheridu,POINT (9.1632452 47.6796484),"POLYGON ((9.229790681060726 47.6801370390588, 9.229536232729318 47.67572440447541, 9.228643509289983 47.67134974037088, 9.227121266174493 47.66705516225275, 9.224984309732731 47.66288200417529, 9.222253349030494 47.658870421638234, 9.218954791470436 47.65505900618841, 9.215120484392397 47.65148441538472, 9.21078740529693 47.6481810216279, 9.20599730379133 47.64518058316527, 9.200796298779247 47.64251194036097, 9.195234434800074 47.64020074007576, 9.189365201770821 47.63826919072934, 9.183245022689672 47.63673585032537, 9.1769327141256 47.635615449408135, 9.170488924541365 47.63491875059168, 9.16397555567719 47.634652445961194, 9.157455172358883 47.63481909329459, 9.150990406187095 47.63541709169322, 9.144643358613168 47.63644069684593, 9.138475008911854 47.63788007578585, 9.132544632521913 47.63972140063354, 9.126909235142291 47.64194698046048, 9.121623007844587 47.64453543005243, 9.11673680829203 47.64746187400896, 9.112297672941665 47.65069818428422, 9.108348364850407 47.65421324895839, 9.104926961408431 47.65797326973279, 9.102066485985434 47.66194208536441, 9.099794587098977 47.66608151800483, 9.098133268300103 47.67035173918107, 9.097098671523913 47.67471165195906, 9.096700916171697 47.679119285663724, 9.096943995683377 47.683532199395394, 9.097825732824754 47.687907890483295, 9.099337794360155 47.692204203953686, 9.101465765211298 47.69637973906388, 9.104189281623269 47.70039424896645, 9.107482222273507 47.70420902961784, 9.111312955677578 47.7077872941366, 9.115644641670308 47.71109452894338, 9.120435584181884 47.714098828181505, 9.125639631990616 47.716771203119386, 9.131206623625317 47.719085863472266, 9.137082872116858 47.72102046785178, 9.143211684867108 47.722556340850744, 9.149533913519827 47.723678654598366, 9.15598852838811 47.724376572971345, 9.162513211721045 47.72464335701745, 9.169044963882808 47.724476430534985, 9.175520716373116 47.72387740515025, 9.181877945541402 47.72285206464097, 9.188055280839137 47.7214103086631, 9.193993101515805 47.719566056444606, 9.199634115792891 47.717337111411496, 9.204923916745285 47.714744988101295, 9.209811509377303 47.711814703093516, 9.214249803697967 47.70857453204356, 9.218196068972015 47.70505573523857, 9.221612344744193 47.701292254400784, 9.224465804699093 47.69732038374128, 9.226729069919996 47.69317841851116, 9.228380468642571 47.688906284509116, 9.229404240153995 47.684545152177776, 9.229790681060726 47.6801370390588))"
1612,node/6586844056,kindergarten,Cherisy Kinderhaus,POINT (9.1624052 47.6793622),"POLYGON ((9.228950305023236 47.67985134959265, 9.22869592989873 47.675438712535964, 9.227803282559503 47.671064041064874, 9.22628111770328 47.66676945075938, 9.224144240926016 47.66259627579265, 9.22141336052693 47.65858467182843, 9.218114883136852 47.65477323062114, 9.21428065532588 47.6511986099789, 9.209947653834266 47.647895182590595, 9.205157627525624 47.64489470702808, 9.199956694583575 47.64222602401306, 9.19439489885791 47.63991478079363, 9.188525729612927 47.637983186202646, 9.182405609237104 47.63644979867893, 9.17609335373841 47.63532934921977, 9.16964961107254 47.63463260090562, 9.16313628253131 47.63436624629713, 9.15661593255499 47.634532843652146, 9.150151192425147 47.635130792551855, 9.143804163343491 47.6361543491603, 9.137635824406969 47.63759368097662, 9.131705450950045 47.63943496057383, 9.126070048641921 47.64166049745792, 9.120783808599334 47.644248906827094, 9.115897588605204 47.64717531366748, 9.11145842530976 47.650411590290034, 9.107509082034895 47.653926625098755, 9.104087636505156 47.657686620082494, 9.10122711249096 47.661655414246944, 9.098955158973233 47.66579482995094, 9.09729378002478 47.670065038885426, 9.096259118155967 47.67442494423531, 9.095861293391481 47.67883257539825, 9.096104299836917 47.68324549150049, 9.096985960959696 47.68762118984987, 9.098497944255056 47.691917515404235, 9.10062583539791 47.69609306730603, 9.103349271401598 47.700107598547476, 9.10664213171943 47.70392240488087, 9.11047278564295 47.70750069917846, 9.114804393775488 47.71080796757495, 9.119595260800772 47.71381230389087, 9.124799236228252 47.71648471903779, 9.130366159288306 47.71879942234382, 9.136242343676857 47.72073407200658, 9.142371097417726 47.7222699921823, 9.148693272727366 47.72339235454498, 9.155147840436609 47.72409032250212, 9.161672483252193 47.72435715662267, 9.16820420193131 47.72419028022133, 9.174679928298167 47.723591304440575, 9.181037138954952 47.722566012578945, 9.187214463531692 47.72112430382238, 9.19315228138047 47.719280096942626, 9.198793300748491 47.71705119492785, 9.20408311465925 47.714459111900155, 9.208970727989183 47.711528864050244, 9.213409050544264 47.7082887266751, 9.217355351313135 47.70476995973722, 9.220771669494216 47.7010065046712, 9.223625178359038 47.697034655440184, 9.225888498515259 47.69289270708948, 9.227539957665115 47.68862058525603, 9.228563794509837 47.68425946026637, 9.228950305023236 47.67985134959265))"
1850,node/9778126364,kindergarten,Kinderhaus am See,POINT (9.2114532 47.6717925),"POLYGON ((9.277988876847392 47.672251813861706, 9.277730333492356 47.66783927035764, 9.276833650046154 47.6634649787537, 9.275307619953361 47.65917105089285, 9.273167085872968 47.65499881449806, 9.270432791132711 47.65098841613452, 9.267131175027517 47.6471784358996, 9.263294114120958 47.64360551749991, 9.258958612196269 47.640304017215456, 9.254166441958358 47.63730567506026, 9.248963742010021 47.63463931122818, 9.243400573010156 47.63233055066615, 9.237530437268191 47.63040157834628, 9.231409766334988 47.62887092751483, 9.225097381415477 47.62775330288498, 9.218653931650845 47.62705944041204, 9.21214131549784 47.62679600494844, 9.20562209056893 47.62696552672464, 9.199158877389653 47.62756637724165, 9.192813762578043 47.62859278479798, 9.186647706955497 47.630034889507094, 9.180719964058992 47.63187883729726, 9.175087514440856 47.63410691202501, 9.169804521015182 47.63669770447959, 9.164921810539163 47.63962631671242, 9.160486386103788 47.64286459979442, 9.15654097525222 47.646381422788686, 9.1531236180466 47.65014297042927, 9.150267299065936 47.65411306672059, 9.147999626941214 47.65825352142012, 9.146342564619681 47.662524496140975, 9.145312213102471 47.6668848866136, 9.144918650918694 47.67129271747941, 9.145165831090976 47.6757055458556, 9.146051536813255 47.68008086981093, 9.147567396507561 47.68437653782989, 9.149698958356806 47.688551155316475, 9.152425823830736 47.692564484201746, 9.155721839137172 47.69637783177031, 9.159555342948801 47.69995442491115, 9.16388946818065 47.70325976612611, 9.168682495034666 47.70626196779647, 9.17388825199013 47.70893206140935, 9.17945656091024 47.71124427868425, 9.185333721962124 47.71317630180927, 9.191463033616524 47.714709480297124, 9.197785342610237 47.71582901229793, 9.204239618424763 47.71652408855694, 9.21076354656323 47.71678799757636, 9.21729413469859 47.716618190927214, 9.223768325622302 47.71601630805605, 9.230123610846608 47.7149881603373, 9.236298638706035 47.71354367453121, 9.242233810865262 47.711696796214035, 9.247871861269758 47.70946535414804, 9.253158411771055 47.70687088694916, 9.258042498916643 47.70393843378452, 9.262477066712215 47.70069629118814, 9.266419420536142 47.69717573841585, 9.269831637807313 47.69341073406671, 9.272680931472323 47.68943758697543, 9.274939962879454 47.685294604624794, 9.276587101139182 47.68102172253755, 9.277606626625802 47.67666011828206, 9.277988876847392 47.672251813861706))"
2443,way/92035383,kindergarten,Dorothea von Flüe,POINT (9.168555803314304 47.67430221163853),"POLYGON ((9.235094416126982 47.674787615407375, 9.234839536089323 47.67037498116305, 9.233946451342218 47.666000348513094, 9.23242392074823 47.661705832655386, 9.230286753375504 47.65753276704, 9.22755566027131 47.65352130627394, 9.224257050065848 47.64971004073134, 9.220422770562537 47.64613562652992, 9.216089798958771 47.6428324343744, 9.21129988379628 47.63983222057744, 9.206099142162177 47.6371638233482, 9.20053761604667 47.634852887192636, 9.194668792109963 47.63292161799804, 9.18854908941729 47.63138857108208, 9.182237319966148 47.630268474174756, 9.175794127052677 47.62957208697433, 9.169281406704126 47.6293060985762, 9.162761717540734 47.62947306372297, 9.1562976845232 47.630071378463825, 9.149951402090762 47.63109529544783, 9.143783842199595 47.63253497870963, 9.137854272731957 47.63437659744138, 9.132219691663256 47.63660245788423, 9.126934282247053 47.63919117211907, 9.122048894307694 47.64211786219211, 9.11761055651651 47.645354397680414, 9.113662024271697 47.64886966448665, 9.110241367504605 47.65262986235524, 9.107381602397314 47.65659882832636, 9.105110370620075 47.660738383091754, 9.103449669283115 47.66500869699006, 9.102415634349851 47.6693686721822, 9.102018379777485 47.67377633738076, 9.102261894143155 47.678189251372515, 9.103143995979538 47.68256491147555, 9.104656348490007 47.68686116300773, 9.106784533743644 47.69103660581822, 9.10950818587065 47.695050993946005, 9.112801182193607 47.69886562452042, 9.116631890648158 47.702443712107694, 9.1209634712714 47.705750744837125, 9.125754228977536 47.70875481880507, 9.130958014302317 47.71142694745807, 9.13652466828938 47.71374134289352, 9.142400507218106 47.71567566628567, 9.14852884244138 47.71721124494548, 9.154850530218194 47.718333253849146, 9.161304546096012 47.71903085982119, 9.167828578126034 47.71929732692933, 9.174359632985128 47.71913008203433, 9.18083464893393 47.71853073983763, 9.187191109464143 47.71750508717486, 9.193367651480196 47.71606302671278, 9.199304661921472 47.714218480613994, 9.204944856860328 47.71198925513474, 9.210233837306015 47.70939686751086, 9.215120616202633 47.70646633686259, 9.219558111426464 47.70322594120411, 9.223503599960049 47.69970694297686, 9.22691912884133 47.6959432858327, 9.229771878950805 47.6919712656692, 9.232034478200992 47.687829179165256, 9.23368526122463 47.68355695327521, 9.234708473212825 47.67919575931462, 9.235094416126982 47.674787615407375))"
2600,way/103593382,kindergarten,Krümelkiste Stromeyersdorf,POINT (9.154887296352669 47.671176299077935),"POLYGON ((9.221421770037988 47.67167001173674, 9.221168074330237 47.66725734052958, 9.220276202002525 47.6628825912566, 9.218754900234366 47.65858788026283, 9.216618966266552 47.65441454290078, 9.21388909928832 47.65040273641595, 9.210591696154559 47.646591054530816, 9.206758593088235 47.64301615738834, 9.202426756010958 47.63971242035597, 9.197637922599863 47.63671160500122, 9.19243819959094 47.63404255532942, 9.18687761923385 47.63173092212806, 9.181009659150005 47.62979891799084, 9.174890730151981 47.62826510530239, 9.168579636847674 47.62714421915276, 9.162137016075508 47.62644702682275, 9.155624758397028 47.62618022514069, 9.14910541800972 47.62634637665871, 9.142641616535814 47.62694388523784, 9.136295446191744 47.62796701126702, 9.13012787784765 47.62940592637505, 9.12419817944728 47.63124680713041, 9.118563350175169 47.633471966862494, 9.113277575631274 47.6360600243847, 9.108391709102671 47.63898610805593, 9.103952783808456 47.64222209328571, 9.100003560738177 47.64573687127305, 9.096582116406807 47.649496646471775, 9.093721474511607 47.653465259999, 9.091449285099813 47.657604535951506, 9.089787554442376 47.66187464736782, 9.0887524283613 47.66623449837714, 9.088354031277412 47.670642118908894, 9.08859636273746 47.6750550682029, 9.089477252645365 47.679430843261194, 9.090988375868669 47.68372728831852, 9.093115326321549 47.68790300138354, 9.095837750045874 47.69191773391413, 9.099129536227027 47.695732779741775, 9.102959064499085 47.69931134944939, 9.107289506318875 47.7026189265351, 9.112079177629541 47.705623601860324, 9.117281939496438 47.708296383083194, 9.122847642889463 47.71061147601469, 9.12872261331262 47.71254653510534, 9.134850170550258 47.71408288057008, 9.141171178415865 47.71520567998539, 9.147624619059288 47.715904092544484, 9.154148186116297 47.71617137452612, 9.160678890775017 47.71600494492047, 9.167153674689283 47.715406410553285, 9.173510023592474 47.71438155045625, 9.179686575457312 47.71294025964004, 9.185623717108061 47.711096452833644, 9.191264163320447 47.70886792915445, 9.19655351263935 47.70627619906392, 9.20144077440219 47.703346275338085, 9.205878861773124 47.7001064301386, 9.20982504596488 47.696587920602916, 9.213241367246043 47.69282468567836, 9.216094998796121 47.688853017202895, 9.218358559971831 47.684711208479385, 9.220010376080301 47.68043918380198, 9.22103468230938 47.67607811256678, 9.221421770037988 47.67167001173674))"
2781,way/120067349,kindergarten,kinderhaus am salzberg,POINT (9.190630897572175 47.671983681710266),"POLYGON ((9.25716667506651 47.672455658469076, 9.256909914326169 47.66804306850846, 9.256014994834294 47.6636686089779, 9.25449069307621 47.65937439337228, 9.252351835112666 47.65520175221758, 9.249619148192233 47.651190836005185, 9.246319056202154 47.64738022984274, 9.242483421115253 47.64380658348217, 9.238149233078124 47.64050426022496, 9.233358252240807 47.63750500801478, 9.22815660585016 47.63483765580661, 9.222594344513647 47.63252783805601, 9.216724961886943 47.63059774989981, 9.210604882344839 47.62906593530788, 9.20429292146004 47.627947110173565, 9.19784972433719 47.62725202198216, 9.191337187029257 47.62698734735624, 9.184817866399705 47.627155628424305, 9.178354383886692 47.62775524860028, 9.172008828674022 47.62878044799699, 9.165842165778407 47.63022137833117, 9.159913654522994 47.63206419681289, 9.15428028278382 47.63429119815132, 9.148996222268586 47.6368809834556, 9.14411230991662 47.63980866446562, 9.139675560295133 47.64304610121639, 9.135728713610847 47.64656217092463, 9.132309823658614 47.65032306558882, 9.129451889690714 47.65429261551839, 9.127182535814018 47.65843263575496, 9.125523741108218 47.66270329212321, 9.124491623210538 47.667063483450995, 9.124096277631455 47.67147123633194, 9.124341674557883 47.67588410867003, 9.125225614366077 47.68025959814662, 9.126739742512626 47.6845555516868, 9.128869623902162 47.688730571976976, 9.13159487625049 47.69274441709718, 9.134889361377008 47.69655838938382, 9.138721432778214 47.70013570972693, 9.143054237259062 47.70344187363614, 9.147846067840117 47.70644498557376, 9.153050764620705 47.70911606825756, 9.15861815976975 47.711429343871785, 9.16449456234285 47.7133624843956, 9.170623278192943 47.71489682855803, 9.176945159858645 47.71601756325548, 9.183399180984559 47.716713867618935, 9.189923029556256 47.71697901828884, 9.196453714023422 47.716810454842495, 9.202928176240645 47.716209804717714, 9.209283905079076 47.71518286738215, 9.215459544554463 47.7137395579073, 9.221395490378404 47.711893810512485, 9.227034468968766 47.70966344304529, 9.232322093150403 47.70706998375528, 9.237207389035387 47.70413846209196, 9.241643288889431 47.70089716561456, 9.24558708516325 47.69737736543343, 9.249000841288721 47.693613012909914, 9.25185175530446 47.68964041061793, 9.254112472876745 47.685497860816156, 9.255761346814019 47.681225294889366, 9.256782640727925 47.676863887392706, 9.25716667506651 47.672455658469076))"
